date,Global,Northern_Japan,Central_Japan,Southern_Japan,Tsushima_Region
2025-06-17,0.27225852,0.20131241,0.26890612,0.33435285,0.37265944
2025-06-18,0.26744127,0.19800997,0.2630245,0.3289088,0.35863948
2025-06-19,0.262977,0.19461402,0.2579354,0.32392508,0.3461684
2025-06-20,0.2596047,0.19188751,0.25425893,0.3201935,0.33621562
2025-06-21,0.25687668,0.18953083,0.25141096,0.31722513,0.32755348
